GeoFips,City_Match,Cost_Of_Living_RPP,City_Label,Population,Median_Household_Income,High_Skill_Total,Real_Purchasing_Power,Education_Rate
10180,"Abilene, TX",91.675,"Abilene, TX",175241.0,57356.0,28121.0,62564.49,0.1605
10420,"Akron, OH",93.528,"Akron, OH",702464.0,63331.0,161394.0,67713.41,0.2298
10500,"Albany, GA",89.32,"Albany, GA",149298.0,49500.0,21455.0,55418.72,0.1437
10540,"Albany, OR",101.934,"Albany-Lebanon, OR",127200.0,63313.0,17529.0,62111.76,0.1378
10580,"Albany-Schenectady-Troy, NY",98.995,"Albany-Schenectady-Troy, NY",898265.0,77758.0,246239.0,78547.4,0.2741
10740,"Albuquerque, NM",92.103,"Albuquerque, NM",913388.0,58335.0,213273.0,63336.7,0.2335
10780,"Alexandria, LA",89.319,"Alexandria, LA",152695.0,50005.0,20508.0,55984.73,0.1343
10900,"Allentown-Bethlehem-Easton, PA-NJ",98.108,"Allentown-Bethlehem-Easton, PA-NJ",857997.0,73091.0,187057.0,74500.55,0.218
11020,"Altoona, PA",89.25,"Altoona, PA",123132.0,54368.0,20520.0,60916.53,0.1667
11100,"Amarillo, TX",93.486,"Amarillo, TX",268306.0,58878.0,43287.0,62980.55,0.1613
11180,"Ames, IA",91.489,"Ames, IA",124827.0,63814.0,31532.0,69750.46,0.2526
11260,"Anchorage, AK",106.79,"Anchorage, AK",399352.0,86252.0,87637.0,80767.86,0.2194
11460,"Ann Arbor, MI",99.495,"Ann Arbor, MI",372428.0,79198.0,134255.0,79599.98,0.3605
11500,"Anniston-Oxford, AL",83.732,"Anniston-Oxford, AL",116425.0,50977.0,15674.0,60881.14,0.1346
11540,"Appleton, WI",93.432,"Appleton, WI",241748.0,74044.0,50472.0,79249.08,0.2088
11700,"Asheville, NC",95.798,"Asheville, NC",465558.0,58039.0,129722.0,60584.77,0.2786
12020,"Athens-Clarke County, GA",94.407,"Athens-Clarke County, GA",213886.0,52958.0,54443.0,56095.42,0.2545
12060,"Atlanta-Sandy Springs-Roswell, GA",99.03,"Atlanta-Sandy Springs-Alpharetta, GA",6026734.0,75267.0,1621547.0,76004.24,0.2691
12100,"Atlantic City-Hammonton, NJ",95.986,"Atlantic City-Hammonton, NJ",273865.0,66473.0,56247.0,69252.81,0.2054
12220,"Auburn-Opelika, AL",89.125,"Auburn-Opelika, AL",172223.0,57191.0,40727.0,64169.42,0.2365
12260,"Augusta-Richmond County, GA-SC",91.894,"Augusta-Richmond County, GA-SC",607673.0,58093.0,112360.0,63217.4,0.1849
12420,"Austin-Round Rock-San Marcos, TX",99.973,"Austin-Round Rock-Georgetown, TX",2234300.0,85398.0,715990.0,85421.06,0.3205
12540,"Bakersfield-Delano, CA",100.889,"Bakersfield, CA",905644.0,58824.0,97236.0,58305.66,0.1074
12580,"Baltimore-Columbia-Towson, MD",104.901,"Baltimore-Columbia-Towson, MD",2837237.0,87513.0,821827.0,83424.37,0.2897
12620,"Bangor, ME",96.781,"Bangor, ME",152211.0,55125.0,32587.0,56958.49,0.2141
12700,"Barnstable Town, MA",101.36,"Barnstable Town, MA",227942.0,82619.0,79930.0,81510.46,0.3507
12940,"Baton Rouge, LA",93.155,"Baton Rouge, LA",867628.0,63270.0,168026.0,67919.06,0.1937
12980,"Battle Creek, MI",90.427,"Battle Creek, MI",134207.0,53286.0,19950.0,58927.09,0.1487
13020,"Bay City, MI",91.479,"Bay City, MI",104050.0,52510.0,15275.0,57401.15,0.1468
13140,"Beaumont-Port Arthur, TX",92.986,"Beaumont-Port Arthur, TX",397924.0,57899.0,49311.0,62266.36,0.1239
13220,"Beckley, WV",89.334,"Beckley, WV",115985.0,44466.0,15434.0,49775.0,0.1331
13380,"Bellingham, WA",104.581,"Bellingham, WA",224533.0,70011.0,54708.0,66944.28,0.2437
13460,"Bend, OR",101.975,"Bend, OR",194964.0,74082.0,55259.0,72647.22,0.2834
13740,"Billings, MT",92.297,"Billings, MT",182997.0,65788.0,42047.0,71278.59,0.2298
13780,"Binghamton, NY",94.35,"Binghamton, NY",247158.0,56621.0,47046.0,60011.66,0.1903
13820,"Birmingham, AL",90.424,"Birmingham-Hoover, AL",1109895.0,62873.0,250546.0,69531.32,0.2257
13900,"Bismarck, ND",94.143,"Bismarck, ND",132661.0,75715.0,30980.0,80425.52,0.2335
